lWTAyaM5MyvGqKujuVlOYQ,The Palms,Phoenix,AZ,33.502258,-111.987669
dLbr8fvUvg6VZKsX9sJDDw,ASAP Moving and Hauling,Lorain,OH,41.4329234,-82.2202951
2YE6MbY-zZ46I6MhbB44Fw,R-Nails,Harrisburg,NC,35.3237817,-80.6475399
I22W6zJPENiNKvzPeJ-a5Q,Claireport Place,Etobicoke,ON,43.746178,-79.631949
IRF1hPi3GuxJ-EpoEpzI7Q,Hockey Hall of Fame,Toronto,ON,43.6469506219,-79.3772372096
12_TcB1midibslKWL7pZKw,The Management Trust,Scottsdale,AZ,33.6223457,-111.9083735
5f0X-QHUIX-ASUpHZTrN3Q,Desert Financial Credit Union,Glendale,AZ,33.6114267,-112.1817237
fAA1auoV6w5u1_KdJcSRwg,Yummy Grill Sushi,Henderson,NV,36.0620938,-115.0361854
wDgPYWuBzBTZkeV6FgyEeg,C-U Pet Sitting Service,Champaign,IL,40.1150784,-88.2550731
M-oLpxYZY5rFU-3XJ3nMqQ,Heart To Heart Pet Grooming,Parma,OH,41.4102388,-81.7349206
zr1C68_HLmn1bBRu17p65A,Dogtown,Toronto,ON,43.6696978,-79.4327457
xHBnnZbrr_47VmH-HJhC9g,Atlas Cinemas Great Lakes Stadium 16,Mentor,OH,41.658553,-81.357452
BToSTEiaK94G3h5_XROEcA,La Poblanita Mexican Restaurant & Candy Store,Charlotte,NC,35.128079,-80.938538
EQihpFjqlW8u2mtdljoEjw,Diamond Wireless,Las Vegas,NV,36.172259,-115.1963237
D-8V-f7HLGUa52GnMnqjIA,Bright Now! Dental,Glendale,AZ,33.5517356612,-112.2598314617
fJqr94JUtAuJNwXiIdJtxw,Soup 'n Such,Toronto,ON,43.6551912,-79.4523232
mqe-NWd17wC3K_mosT9P_g,Chef Direct,Las Vegas,NV,36.2147788,-115.1002532
aOrzdb-D9Q_49vVgK-qGNw,Unica Home,Las Vegas,NV,36.0857316,-115.1914175
nMn2IR9cLP5HH7Etehyldw,Charlotte Emergency Dental Clinic,Charlotte,NC,35.1759183,-80.8513672
3MqiT9-rIPIGagAsVObcsA,Andy's Heating and Cooling,Madison,WI,43.1,-89.3199999
w4K3uuqcmet0TpOJ6Rhk1g,Efficient Air,Goodyear,AZ,33.4128426,-112.3744695
atzOKU4HhoU7s_iCi64Q0w,Sabor Latin Street Grill - Huntersville,Huntersville,NC,35.408391,-80.8629505
n-P2KTLcH_BrXfWtcIZpbw,i2iOptique,Scottsdale,AZ,33.5575724228,-111.8989266815
Fvd8qeJCXFbMYQk45S7iBQ,Las Fuentes Mexican Grill,Surprise,AZ,33.6074715,-112.3559409
2_TO5pfMLN-bTSnyo112Dg,Mr. Handyman of Cleveland's Northwest Suburbs,Avon,OH,41.4579425,-81.9704557
gVAShwjtKboDwt7mNLxqUg,Bikram Yoga Calgary @ Marda Loop,Calgary,AB,51.023894,-114.1086189
jhCcZgDhPh5oiPgOXYTkrg,Best Gyros,Cleveland,OH,41.4984255,-81.5650903
KNcoy0qNcclKpa3uhdrPKw,Ahimsa Yoga Studio,Toronto,ON,43.6658462,-79.4085205
F0PPK3ULohLWMUnrs_WWhA,Senor Coyotes,North Ridgeville,OH,41.400642021,-81.9904185804
9Hkznih6jfzV5NDyxP0pmQ,Discount Muffler Brakes and A/C,Las Vegas,NV,36.080695,-115.110961
